retailer,timestamp,category,gender,brand,name,reference_variant,ean,current_price,regular_price,msrp_price,currency,availability,url
Tennis-Point,2026-06-25 20:01:55,shoes,women,K-Swiss,"Court Express 2 Sandplatzschuh Damen - weiß, lavendel",EU 39,196483984798,39.95,79.99,,€,in_stock,https://www.tennis-point.de/products/k-swiss-court-express-2-sandplatzschuh-damen-weiss-lavendel-a0000004300602
Tennis-Point,2026-06-25 20:02:44,shoes,women,Wilson,"Intrigue Pro Sandplatzschuh Damen - weiß, rosa",EU 39,97512997287,89.95,130.0,,€,in_stock,https://www.tennis-point.de/products/wilson-intrigue-pro-sandplatzschuh-damen-weiss-rosa-p0000004130502
Tennis-Point,2026-06-25 20:06:01,rackets,unisex,Wilson,Clash 100 V2.0 Turnierschläger,L2,00097512592109,139.95,250.0,,€,in_stock,https://www.tennis-point.de/products/wilson-clash-100-v20-turnierschlaeger-00705503744000?_pos=34&_fid=19e70ad35&_ss=c
Tennis-Point,2026-06-25 20:06:01,rackets,unisex,Wilson,Clash 100 V2.0 Turnierschläger,L3,00097512592116,139.95,250.0,,€,in_stock,https://www.tennis-point.de/products/wilson-clash-100-v20-turnierschlaeger-00705503744000?_pos=34&_fid=19e70ad35&_ss=c
Tennis-Point,2026-06-25 20:07:01,rackets,unisex,Wilson,Clash 100 V3.0 Turnierschläger,L2,00097512892544,171.95,250.0,,€,in_stock,https://www.tennis-point.de/products/wilson-clash-100-v30-turnierschlaeger-00707504149000?_pos=27&_fid=19e70ad35&_ss=c
Tennis-Point,2026-06-25 20:07:01,rackets,unisex,Wilson,Clash 100 V3.0 Turnierschläger,L3,00097512892537,171.95,250.0,,€,in_stock,https://www.tennis-point.de/products/wilson-clash-100-v30-turnierschlaeger-00707504149000?_pos=27&_fid=19e70ad35&_ss=c
Tennis-Point,2026-06-25 20:07:18,rackets,unisex,Wilson,Pro Staff 97 V14 Turnierschläger,L2,00097512683944,149.95,320.0,,€,in_stock,https://www.tennis-point.de/products/wilson-pro-staff-97-v14-turnierschlaeger-00706203875000?_pos=25&_fid=19e70ad35&_ss=c
Tennis-Point,2026-06-25 20:07:18,rackets,unisex,Wilson,Pro Staff 97 V14 Turnierschläger,L3,00097512683937,149.95,320.0,,€,in_stock,https://www.tennis-point.de/products/wilson-pro-staff-97-v14-turnierschlaeger-00706203875000?_pos=25&_fid=19e70ad35&_ss=c
Tennis-Point,2026-06-25 20:07:38,rackets,unisex,Wilson,Blade 98 Pro 18X20 V10 Turnierschläger unbesaitet,L2,00097512975117,259.95,290.0,,€,in_stock,https://www.tennis-point.de/products/wilson-blade-98-pro-18x20-v10-turnierschlaeger-unbesaitet-00707604285000?_pos=23&_fid=19e70ad35&_ss=c
Tennis-Point,2026-06-25 20:07:38,rackets,unisex,Wilson,Blade 98 Pro 18X20 V10 Turnierschläger unbesaitet,L3,00097512975148,259.95,290.0,,€,in_stock,https://www.tennis-point.de/products/wilson-blade-98-pro-18x20-v10-turnierschlaeger-unbesaitet-00707604285000?_pos=23&_fid=19e70ad35&_ss=c
Tennis-Point,2026-06-25 20:07:47,rackets,unisex,Head,Speed MP 2026 Turnierschläger unbesaitet,L2,198772135195,169.95,280.0,,€,in_stock,https://www.tennis-point.de/products/head-speed-mp-2026-turnierschlaeger-unbesaitet-p0000001851601?_pos=22&_fid=19e70ad35&_ss=c
Tennis-Point,2026-06-25 20:07:47,rackets,unisex,Head,Speed MP 2026 Turnierschläger unbesaitet,L3,198772135201,169.95,280.0,,€,in_stock,https://www.tennis-point.de/products/head-speed-mp-2026-turnierschlaeger-unbesaitet-p0000001851601?_pos=22&_fid=19e70ad35&_ss=c
Tennis-Point,2026-06-25 20:07:57,rackets,unisex,Head,Squared Allroundschläger unbesaitet,L2,198772137298,229.95,260.0,,€,in_stock,https://www.tennis-point.de/products/head-squared-allroundschlaeger-unbesaitet-p0000001850501?_pos=21&_fid=19e70ad35&_ss=c
Tennis-Point,2026-06-25 20:07:57,rackets,unisex,Head,Squared Allroundschläger unbesaitet,L3,198772137304,229.95,260.0,,€,in_stock,https://www.tennis-point.de/products/head-squared-allroundschlaeger-unbesaitet-p0000001850501?_pos=21&_fid=19e70ad35&_ss=c
Tennis-Point,2026-06-25 20:08:06,rackets,unisex,Wilson,Ultra 100 L V5 RG Turnierschläger unbesaitet,L2,00097512975339,153.95,220.0,,€,in_stock,https://www.tennis-point.de/products/wilson-ultra-100-l-v5-rg-turnierschlaeger-unbesaitet-00707604297000?_pos=20&_fid=19e70ad35&_ss=c
