retailer,timestamp,category,gender,brand,name,reference_variant,ean,current_price,regular_price,msrp_price,currency,availability,url
Tennis-Point,2026-06-26 19:31:31,rackets,unisex,Wilson,Clash 100 V2.0 Roland Garros Turnierschläger unbesaitet,L2,00097512795678,199.95,250.0,,€,out_of_stock,https://www.tennis-point.de/products/wilson-clash-100-v20-roland-garros-turnierschlaeger-unbesaitet-00706604035000?_pos=400&_fid=f86058744&_ss=c
Tennis-Point,2026-06-26 19:31:31,rackets,unisex,Wilson,Clash 100 V2.0 Roland Garros Turnierschläger unbesaitet,L3,00097512795661,199.95,250.0,,€,in_stock,https://www.tennis-point.de/products/wilson-clash-100-v20-roland-garros-turnierschlaeger-unbesaitet-00706604035000?_pos=400&_fid=f86058744&_ss=c
Tennis-Point,2026-06-26 19:42:02,shoes,women,K-Swiss,"Express Light 3 Sandplatzschuh Damen - weiß, türkis",EU 39,0196483824827,59.95,119.99,,€,out_of_stock,https://www.tennis-point.de/products/k-swiss-express-light-3-sandplatzschuh-damen-weiss-tuerkis-01417102455000
Tennis-Point,2026-06-26 19:42:46,shoes,women,K-Swiss,"Express Light 3 Allcourtschuh Damen - weiß, hellblau",EU 39,0196483715781,63.95,119.99,,€,out_of_stock,https://www.tennis-point.de/products/k-swiss-express-light-3-allcourtschuh-damen-weiss-hellblau-01417502428000
Tennis-Point,2026-06-26 19:44:11,shoes,women,Head,"Sprint Pro 4.0 Sandplatzschuh Damen-Weiß,Hellgrün",EU 39,726423357629,67.95,160.0,,€,out_of_stock,https://www.tennis-point.de/products/head-sprint-pro-40-sandplatzschuh-damen-weisshellgruen-00617501994000
Tennis-Point,2026-06-26 19:44:21,shoes,women,Head,"Sprint Team 4.0 Sandplatzschuh Damen-Creme,Hellgrün",EU 39,726423359197,48.95,110.0,,€,out_of_stock,https://www.tennis-point.de/products/head-sprint-team-40-sandplatzschuh-damen-cremehellgruen-00617502001000
Tennis-Point,2026-06-26 19:45:23,rackets,unisex,Yonex,2x VCore 100 (2026) plus Schlägertasche,L2,,707.95,749.95,,€,in_stock,https://www.tennis-point.de/products/yonex-2x-vcore-100-2026-plus-schlaegertasche-b0000004740200?_pos=368&_fid=f86058744&_ss=c
Tennis-Point,2026-06-26 19:45:23,rackets,unisex,Yonex,2x VCore 100 (2026) plus Schlägertasche,L3,,707.95,749.95,,€,in_stock,https://www.tennis-point.de/products/yonex-2x-vcore-100-2026-plus-schlaegertasche-b0000004740200?_pos=368&_fid=f86058744&_ss=c
Tennis-Point,2026-06-26 19:45:32,rackets,unisex,Yonex,2x VCORE 98 (2026) plus Schlägertasche,L2,,726.95,769.95,,€,in_stock,https://www.tennis-point.de/products/yonex-2x-vcore-98-2026-plus-schlaegertasche-b0000004900200?_pos=367&_fid=f86058744&_ss=c
Tennis-Point,2026-06-26 19:45:32,rackets,unisex,Yonex,2x VCORE 98 (2026) plus Schlägertasche,L3,,726.95,769.95,,€,in_stock,https://www.tennis-point.de/products/yonex-2x-vcore-98-2026-plus-schlaegertasche-b0000004900200?_pos=367&_fid=f86058744&_ss=c
