retailer,timestamp,category,gender,brand,name,reference_variant,ean,current_price,regular_price,msrp_price,currency,availability,url
Tennis-Point,2026-07-09 09:43:03,shoes,women,K-Swiss,"Hypercourt Express 2 Sandplatzschuh Damen-Schwarz,Gold",EU 39,0192935846720,39.95,149.99,,€,out_of_stock,https://www.tennis-point.de/products/k-swiss-hypercourt-express-2-sandplatzschuh-damen-schwarzgold-01416002199000
Tennis-Point,2026-07-09 09:43:42,shoes,women,K-Swiss,"Hypercourt Supreme 2 Sandplatzschuh Damen - weiß, hellgrün",EU 39,0196483711868,99.95,169.99,,€,out_of_stock,https://www.tennis-point.de/products/k-swiss-hypercourt-supreme-2-sandplatzschuh-damen-weiss-hellgruen-01417502422000
Tennis-Point,2026-07-09 09:44:23,rackets,unisex,Wilson,2x RF 01 Future plus Schlägertasche,L2,,436.95,660.0,,€,in_stock,https://www.tennis-point.de/products/wilson-2x-rf-01-future-plus-schlaegertasche-00706704093000?_pos=397&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:44:23,rackets,unisex,Wilson,2x RF 01 Future plus Schlägertasche,L3,,436.95,660.0,,€,in_stock,https://www.tennis-point.de/products/wilson-2x-rf-01-future-plus-schlaegertasche-00706704093000?_pos=397&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:44:44,rackets,unisex,Dunlop,2x SX 300 Tour plus Schlägertasche,L2,,406.95,639.95,,€,in_stock,https://www.tennis-point.de/products/dunlop-2x-sx-300-tour-plus-schlaegertasche-01607502384000?_pos=394&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:44:44,rackets,unisex,Dunlop,2x SX 300 Tour plus Schlägertasche,L3,,406.95,639.95,,€,in_stock,https://www.tennis-point.de/products/dunlop-2x-sx-300-tour-plus-schlaegertasche-01607502384000?_pos=394&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:44:54,rackets,unisex,Wilson,2x Clash 100L V3.0 plus Schlägertasche,L2,,447.95,590.0,,€,in_stock,https://www.tennis-point.de/products/wilson-2x-clash-100l-v30-plus-schlaegertasche-00707504203000?_pos=393&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:44:54,rackets,unisex,Wilson,2x Clash 100L V3.0 plus Schlägertasche,L3,,447.95,590.0,,€,in_stock,https://www.tennis-point.de/products/wilson-2x-clash-100l-v30-plus-schlaegertasche-00707504203000?_pos=393&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:45:04,rackets,unisex,Head,2x Gravity Tour 2025 plus Schlägertasche,L2,,461.95,680.0,,€,in_stock,https://www.tennis-point.de/products/head-2x-gravity-tour-2025-plus-schlaegertasche-00607504544000?_pos=392&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:45:04,rackets,unisex,Head,2x Gravity Tour 2025 plus Schlägertasche,L3,,461.95,680.0,,€,in_stock,https://www.tennis-point.de/products/head-2x-gravity-tour-2025-plus-schlaegertasche-00607504544000?_pos=392&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:45:12,rackets,unisex,Wilson,2x Clash 100L V3.0 plus Schlägertasche,L2,,380.95,570.0,,€,in_stock,https://www.tennis-point.de/products/wilson-2x-clash-100l-v30-plus-schlaegertasche-00707504202000?_pos=391&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:45:12,rackets,unisex,Wilson,2x Clash 100L V3.0 plus Schlägertasche,L3,,380.95,570.0,,€,in_stock,https://www.tennis-point.de/products/wilson-2x-clash-100l-v30-plus-schlaegertasche-00707504202000?_pos=391&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:45:36,rackets,unisex,Wilson,2x Clash 100 Pro V3.0 plus Schlägertasche,L2,,434.95,650.0,,€,out_of_stock,https://www.tennis-point.de/products/wilson-2x-clash-100-pro-v30-plus-schlaegertasche-00707504198000?_pos=388&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:45:36,rackets,unisex,Wilson,2x Clash 100 Pro V3.0 plus Schlägertasche,L3,,434.95,650.0,,€,in_stock,https://www.tennis-point.de/products/wilson-2x-clash-100-pro-v30-plus-schlaegertasche-00707504198000?_pos=388&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:45:44,rackets,unisex,Wilson,2x Clash 100L V2.0 plus Schlägertasche,L2,,318.95,590.0,,€,out_of_stock,https://www.tennis-point.de/products/wilson-2x-clash-100l-v20-plus-schlaegertasche-00705503991000?_pos=387&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:45:44,rackets,unisex,Wilson,2x Clash 100L V2.0 plus Schlägertasche,L3,,318.95,590.0,,€,in_stock,https://www.tennis-point.de/products/wilson-2x-clash-100l-v20-plus-schlaegertasche-00705503991000?_pos=387&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:45:54,rackets,unisex,Wilson,2x Clash 100 V3.0 plus Schlägertasche,L2,,452.95,650.0,,€,in_stock,https://www.tennis-point.de/products/wilson-2x-clash-100-v30-plus-schlaegertasche-00707504216000?_pos=386&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:45:54,rackets,unisex,Wilson,2x Clash 100 V3.0 plus Schlägertasche,L3,,452.95,650.0,,€,in_stock,https://www.tennis-point.de/products/wilson-2x-clash-100-v30-plus-schlaegertasche-00707504216000?_pos=386&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:46:12,rackets,unisex,Wilson,2x Clash 100 V3.0 plus Schlägertasche,L2,,487.95,650.0,,€,in_stock,https://www.tennis-point.de/products/wilson-2x-clash-100-v30-plus-schlaegertasche-00707504199000?_pos=384&_fid=72aa5b2cf&_ss=c
Tennis-Point,2026-07-09 09:46:12,rackets,unisex,Wilson,2x Clash 100 V3.0 plus Schlägertasche,L3,,487.95,650.0,,€,in_stock,https://www.tennis-point.de/products/wilson-2x-clash-100-v30-plus-schlaegertasche-00707504199000?_pos=384&_fid=72aa5b2cf&_ss=c
