retailer,timestamp,category,gender,brand,name,reference_variant,ean,current_price,regular_price,msrp_price,currency,availability,url
Tennis-Point,2026-06-23 19:57:00,shoes,women,K-Swiss,"Express Light 3 Sandplatzschuh Damen - weiß, lavendel",EU 39,196483943993,73.95,119.99,,€,in_stock,https://www.tennis-point.de/products/k-swiss-express-light-3-sandplatzschuh-damen-weiss-lavendel-a0000004301202
Tennis-Point,2026-06-23 19:59:32,shoes,women,K-Swiss,"Hypercourt Express 2 Sandplatzschuh Damen-Schwarz,Mehrfarbig",EU 39,0196483823387,86.95,139.99,,€,out_of_stock,https://www.tennis-point.de/products/k-swiss-hypercourt-express-2-sandplatzschuh-damen-schwarzmehrfarbig-01417102451000
Tennis-Point,2026-06-23 20:01:07,rackets,unisex,Head,Boom MP L Neon 2025 Turnierschläger,L2,198772103699,135.95,260.0,,€,in_stock,https://www.tennis-point.de/products/head-boom-mp-l-neon-2025-turnierschlaeger-00607004576000?_pos=202&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:01:07,rackets,unisex,Head,Boom MP L Neon 2025 Turnierschläger,L3,198772103705,135.95,260.0,,€,in_stock,https://www.tennis-point.de/products/head-boom-mp-l-neon-2025-turnierschlaeger-00607004576000?_pos=202&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:01:24,rackets,unisex,Wilson,Pro Staff Precision 103 Allroundschläger,L2,00097512850575,99.95,110.0,,€,in_stock,https://www.tennis-point.de/products/wilson-pro-staff-precision-103-allroundschlaeger-00707504168000?_pos=200&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:01:24,rackets,unisex,Wilson,Pro Staff Precision 103 Allroundschläger,L3,00097512850551,99.95,110.0,,€,in_stock,https://www.tennis-point.de/products/wilson-pro-staff-precision-103-allroundschlaeger-00707504168000?_pos=200&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:01:39,rackets,unisex,Wilson,Ultra 95 QZ V5 Turnierschläger unbesaitet,L2,00097512971652,189.95,250.0,,€,in_stock,https://www.tennis-point.de/products/wilson-ultra-95-qz-v5-turnierschlaeger-unbesaitet-00707604288000?_pos=198&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:01:39,rackets,unisex,Wilson,Ultra 95 QZ V5 Turnierschläger unbesaitet,L3,00097512971645,189.95,250.0,,€,in_stock,https://www.tennis-point.de/products/wilson-ultra-95-qz-v5-turnierschlaeger-unbesaitet-00707604288000?_pos=198&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:01:56,rackets,unisex,Wilson,Shift 99 V1 Turnierschläger unbesaitet,L2,00097512727921,209.95,270.0,,€,in_stock,https://www.tennis-point.de/products/wilson-shift-99-v1-turnierschlaeger-unbesaitet-00706303996000?_pos=196&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:01:56,rackets,unisex,Wilson,Shift 99 V1 Turnierschläger unbesaitet,L3,00097512727952,209.95,270.0,,€,in_stock,https://www.tennis-point.de/products/wilson-shift-99-v1-turnierschlaeger-unbesaitet-00706303996000?_pos=196&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:02:01,rackets,unisex,Wilson,US Open GS 105 Allroundschläger unbesaitet,L2,00097512970037,67.95,80.0,,€,in_stock,https://www.tennis-point.de/products/wilson-us-open-gs-105-allroundschlaeger-unbesaitet-00707604308000?_pos=195&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:02:01,rackets,unisex,Wilson,US Open GS 105 Allroundschläger unbesaitet,L3,00097512970044,67.95,80.0,,€,in_stock,https://www.tennis-point.de/products/wilson-us-open-gs-105-allroundschlaeger-unbesaitet-00707604308000?_pos=195&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:02:18,rackets,unisex,Dunlop,SX 300 Tour Turnierschläger,L2,0045566182616,153.95,249.99,,€,in_stock,https://www.tennis-point.de/products/dunlop-sx-300-tour-turnierschlaeger-01607502366000?_pos=193&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:02:18,rackets,unisex,Dunlop,SX 300 Tour Turnierschläger,L3,0045566182623,153.95,249.99,,€,in_stock,https://www.tennis-point.de/products/dunlop-sx-300-tour-turnierschlaeger-01607502366000?_pos=193&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:02:27,rackets,unisex,Wilson,Roland Garros Triumph TNS Allroundschläger unbesaitet,L2,00097512933360,76.95,90.0,,€,in_stock,https://www.tennis-point.de/products/wilson-roland-garros-triumph-tns-allroundschlaeger-unbesaitet-00707604304000?_pos=192&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:02:27,rackets,unisex,Wilson,Roland Garros Triumph TNS Allroundschläger unbesaitet,L3,00097512933353,76.95,90.0,,€,in_stock,https://www.tennis-point.de/products/wilson-roland-garros-triumph-tns-allroundschlaeger-unbesaitet-00707604304000?_pos=192&_fid=94082ccae&_ss=c
Tennis-Point,2026-06-23 20:12:49,rackets,unisex,Head,Extreme Team 2024 Turnierschläger,L2,726423218357,184.95,230.0,,€,in_stock,https://www.tennis-point.de/products/head-extreme-team-2024-turnierschlaeger-00606704421000?_pos=156&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:12:49,rackets,unisex,Head,Extreme Team 2024 Turnierschläger,L3,726423218364,184.95,230.0,,€,out_of_stock,https://www.tennis-point.de/products/head-extreme-team-2024-turnierschlaeger-00606704421000?_pos=156&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:12:57,rackets,unisex,Dunlop,FX 500 Turnierschläger unbesaitet,L2,045566185075,139.95,239.99,,€,in_stock,https://www.tennis-point.de/products/dunlop-fx-500-turnierschlaeger-unbesaitet-p0000001520901?_pos=155&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:12:57,rackets,unisex,Dunlop,FX 500 Turnierschläger unbesaitet,L3,045566185082,139.95,239.99,,€,in_stock,https://www.tennis-point.de/products/dunlop-fx-500-turnierschlaeger-unbesaitet-p0000001520901?_pos=155&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:13:07,rackets,unisex,Head,Gravity MP L 2025 Turnierschläger,L2,726423385684,201.95,250.0,,€,in_stock,https://www.tennis-point.de/products/head-gravity-mp-l-2025-turnierschlaeger-00607504511000?_pos=154&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:13:07,rackets,unisex,Head,Gravity MP L 2025 Turnierschläger,L3,726423385691,201.95,250.0,,€,in_stock,https://www.tennis-point.de/products/head-gravity-mp-l-2025-turnierschlaeger-00607504511000?_pos=154&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:13:17,rackets,unisex,Wilson,Burn 100 V5 Bright Neon Orange Turnierschläger,L2,00097512742313,119.95,200.0,,€,out_of_stock,https://www.tennis-point.de/products/wilson-burn-100-v5-bright-neon-orange-turnierschlaeger-00706404007000?_pos=153&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:13:17,rackets,unisex,Wilson,Burn 100 V5 Bright Neon Orange Turnierschläger,L3,00097512742283,119.95,200.0,,€,in_stock,https://www.tennis-point.de/products/wilson-burn-100-v5-bright-neon-orange-turnierschlaeger-00706404007000?_pos=153&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:13:22,rackets,unisex,Wilson,RF 01 Future Lite Turnierschläger,L2,00097512852982,183.95,240.0,,€,in_stock,https://www.tennis-point.de/products/wilson-rf-01-future-lite-turnierschlaeger-00707504219000?_pos=152&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:13:22,rackets,unisex,Wilson,RF 01 Future Lite Turnierschläger,L3,00097512852975,183.95,240.0,,€,in_stock,https://www.tennis-point.de/products/wilson-rf-01-future-lite-turnierschlaeger-00707504219000?_pos=152&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:13:32,rackets,unisex,Head,Radical Pro 18X20 Turnierschläger,L2,0724794624609,139.95,299.95,,€,in_stock,https://www.tennis-point.de/products/head-radical-pro-18x20-turnierschlaeger-00606704407000?_pos=151&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:13:32,rackets,unisex,Head,Radical Pro 18X20 Turnierschläger,L3,0724794624616,139.95,299.95,,€,in_stock,https://www.tennis-point.de/products/head-radical-pro-18x20-turnierschlaeger-00606704407000?_pos=151&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:14:01,rackets,unisex,Wilson,Pro Staff Team Classic Turnierschläger unbesaitet,L2,00097512975520,114.95,170.0,,€,in_stock,https://www.tennis-point.de/products/wilson-pro-staff-team-classic-turnierschlaeger-unbesaitet-00707604292000?_pos=148&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:14:01,rackets,unisex,Wilson,Pro Staff Team Classic Turnierschläger unbesaitet,L3,00097512975513,114.95,170.0,,€,in_stock,https://www.tennis-point.de/products/wilson-pro-staff-team-classic-turnierschlaeger-unbesaitet-00707604292000?_pos=148&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:14:30,rackets,unisex,Yonex,VCORE 95 (2026) Turnierschläger unbesaitet,L2,4550675389116,309.95,,,€,in_stock,https://www.tennis-point.de/products/yonex-vcore-95-2026-turnierschlaeger-unbesaitet-p0000004731101?_pos=145&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:14:30,rackets,unisex,Yonex,VCORE 95 (2026) Turnierschläger unbesaitet,L3,4550675389123,309.95,,,€,in_stock,https://www.tennis-point.de/products/yonex-vcore-95-2026-turnierschlaeger-unbesaitet-p0000004731101?_pos=145&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:14:35,rackets,unisex,Wilson,Triad Three Komfortschläger,L2,00097512451130,189.95,240.0,,€,in_stock,https://www.tennis-point.de/products/wilson-triad-three-komfortschlaeger-00705503705000?_pos=144&_fid=75829f078&_ss=c&variant=43962332643370
Tennis-Point,2026-06-23 20:14:35,rackets,unisex,Wilson,Triad Three Komfortschläger,L3,00097512451147,189.95,240.0,,€,in_stock,https://www.tennis-point.de/products/wilson-triad-three-komfortschlaeger-00705503705000?_pos=144&_fid=75829f078&_ss=c&variant=43962332643370
Tennis-Point,2026-06-23 20:14:59,rackets,unisex,Yonex,Percept 100 D (305g) Turnierschläger,L2,4550468627579,209.95,319.9,,€,in_stock,https://www.tennis-point.de/products/yonex-percept-100-d-305g-turnierschlaeger-01906401920000?_pos=141&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:14:59,rackets,unisex,Yonex,Percept 100 D (305g) Turnierschläger,L3,4550468627586,209.95,319.9,,€,in_stock,https://www.tennis-point.de/products/yonex-percept-100-d-305g-turnierschlaeger-01906401920000?_pos=141&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:15:08,rackets,unisex,Yonex,Percept 100L (280g) Turnierschläger,L2,4550675268558,203.95,299.95,,€,in_stock,https://www.tennis-point.de/products/yonex-percept-100l-280g-turnierschlaeger-01907101988000?_pos=140&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:15:08,rackets,unisex,Yonex,Percept 100L (280g) Turnierschläger,L3,4550675268565,203.95,299.95,,€,in_stock,https://www.tennis-point.de/products/yonex-percept-100l-280g-turnierschlaeger-01907101988000?_pos=140&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:15:17,rackets,unisex,Wilson,Blade Feel 103 Allroundschläger unbesaitet,L2,00097512939508,75.95,110.0,,€,in_stock,https://www.tennis-point.de/products/wilson-blade-feel-103-allroundschlaeger-unbesaitet-00707604309000?_pos=139&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:15:17,rackets,unisex,Wilson,Blade Feel 103 Allroundschläger unbesaitet,L3,00097512939515,75.95,110.0,,€,in_stock,https://www.tennis-point.de/products/wilson-blade-feel-103-allroundschlaeger-unbesaitet-00707604309000?_pos=139&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:15:28,rackets,unisex,Wilson,Roland Garros Equipe HP TNS Allroundschläger unbesaitet,L2,00097512933391,89.95,120.0,,€,in_stock,https://www.tennis-point.de/products/wilson-roland-garros-equipe-hp-tns-allroundschlaeger-unbesaitet-00707604303000?_pos=138&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:15:28,rackets,unisex,Wilson,Roland Garros Equipe HP TNS Allroundschläger unbesaitet,L3,00097512933407,89.95,120.0,,€,in_stock,https://www.tennis-point.de/products/wilson-roland-garros-equipe-hp-tns-allroundschlaeger-unbesaitet-00707604303000?_pos=138&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:15:37,rackets,unisex,Yonex,Percept 97 (310g) Turnierschläger,L2,4550675268763,224.95,309.95,,€,in_stock,https://www.tennis-point.de/products/yonex-percept-97-310g-turnierschlaeger-01907101986000?_pos=137&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:15:37,rackets,unisex,Yonex,Percept 97 (310g) Turnierschläger,L3,4550675268770,224.95,309.95,,€,in_stock,https://www.tennis-point.de/products/yonex-percept-97-310g-turnierschlaeger-01907101986000?_pos=137&_fid=75829f078&_ss=c
Tennis-Point,2026-06-23 20:15:45,shoes,women,K-Swiss,"Express Light 3 x Quiet Please Sandplatzschuh Damen - weiß, gelb",EU 39,0199286149777,117.95,119.99,,€,out_of_stock,https://www.tennis-point.de/products/k-swiss-express-light-3-x-quiet-please-sandplatzschuh-damen-weiss-gelb-p0000004910201
Tennis-Point,2026-06-23 20:16:20,shoes,women,Head,"Revolt Court 5.0  Allcourtschuh Damen-weiß, blau",EU 39,0198772064877,67.95,85.0,,€,in_stock,https://www.tennis-point.de/products/head-revolt-court-50-allcourtschuh-damen-weiss-blau-p0000004220701
Tennis-Point,2026-06-23 20:17:03,shoes,women,Head,"Sprint Team 4.0  Sandplatzschuh Damen-weiß, hellgrau",EU 39,0198772064631,78.95,110.0,,€,in_stock,https://www.tennis-point.de/products/head-sprint-team-40-sandplatzschuh-damen-weiss-hellgrau-p0000004220901
Tennis-Point,2026-06-23 20:18:36,shoes,women,K-Swiss,"Ultrashot Light Allcourtschuh Damen - weiß, lavendel",EU 39,199286041767,67.95,100.0,,€,in_stock,https://www.tennis-point.de/products/k-swiss-ultrashot-light-allcourtschuh-damen-weiss-lavendel-p0000004300201
Tennis-Point,2026-06-23 20:19:09,shoes,women,K-Swiss,Court Express Sandplatzschuh Damen-Schwarz,EU 39,0196483144529,42.95,89.99,,€,out_of_stock,https://www.tennis-point.de/products/k-swiss-court-express-sandplatzschuh-damen-schwarz-01416202236000
Tennis-Point,2026-06-23 20:20:06,shoes,women,K-Swiss,"Express Light 3 Sandplatzschuh Damen - salbei, koralle",EU 39,0196483786934,83.95,119.99,,€,in_stock,https://www.tennis-point.de/products/k-swiss-express-light-3-sandplatzschuh-damen-salbei-koralle-01417502448000
Tennis-Point,2026-06-23 20:20:40,rackets,unisex,Wilson,Clash 100 V3.0 Reverse Turnierschläger unbesaitet,L2,199073010877,193.95,250.0,,€,in_stock,https://www.tennis-point.de/products/wilson-clash-100-v30-reverse-turnierschlaeger-unbesaitet-00707604324000?_pos=136&_fid=d1412b9a5&_ss=c
Tennis-Point,2026-06-23 20:20:40,rackets,unisex,Wilson,Clash 100 V3.0 Reverse Turnierschläger unbesaitet,L3,199073010860,193.95,250.0,,€,in_stock,https://www.tennis-point.de/products/wilson-clash-100-v30-reverse-turnierschlaeger-unbesaitet-00707604324000?_pos=136&_fid=d1412b9a5&_ss=c
